"","x","y","sci.name","mod","climate_proj","ToE"
"295",-67.625,43.375,"Illex illecebrosus","HAD","8-5",2098
"296",-67.625,43.375,"Illex illecebrosus","IPSL","2-6",2033
"297",-67.625,43.375,"Illex illecebrosus","IPSL","8-5",2015
"298",-67.625,43.375,"Lophius americanus","AWI","2-6",2035
"299",-67.625,43.375,"Lophius americanus","AWI","8-5",2094
"300",-67.625,43.375,"Lophius americanus","CNRM","2-6",2026
"301",-67.625,43.375,"Lophius americanus","CNRM","8-5",2017
"302",-67.625,43.375,"Lophius americanus","GFDL","8-5",2020
"303",-67.625,43.375,"Lophius americanus","HAD","2-6",2020
"304",-67.625,43.375,"Lophius americanus","HAD","8-5",2026
"305",-67.625,43.375,"Lophius americanus","IPSL","2-6",2033
"306",-67.625,43.375,"Lophius americanus","IPSL","8-5",2020
"307",-67.625,43.375,"Malacoraja senta","AWI","2-6",2085
"308",-67.625,43.375,"Malacoraja senta","AWI","8-5",2042
"309",-67.625,43.375,"Malacoraja senta","CNRM","2-6",2015
"310",-67.625,43.375,"Malacoraja senta","CNRM","8-5",2096
"311",-67.625,43.375,"Malacoraja senta","GFDL","8-5",2097
"312",-67.625,43.375,"Malacoraja senta","HAD","2-6",2069
"313",-67.625,43.375,"Malacoraja senta","HAD","8-5",2024
"314",-67.625,43.375,"Malacoraja senta","IPSL","2-6",2015
"315",-67.625,43.375,"Malacoraja senta","IPSL","8-5",2083
"316",-67.625,43.375,"Melanogrammus aeglefinus","AWI","2-6",2015
"317",-67.625,43.375,"Melanogrammus aeglefinus","AWI","8-5",2048
"318",-67.625,43.375,"Melanogrammus aeglefinus","CNRM","2-6",2020
"319",-67.625,43.375,"Melanogrammus aeglefinus","CNRM","8-5",2100
"320",-67.625,43.375,"Melanogrammus aeglefinus","GFDL","8-5",2028
"321",-67.625,43.375,"Melanogrammus aeglefinus","HAD","2-6",2052
"322",-67.625,43.375,"Melanogrammus aeglefinus","HAD","8-5",2053
"323",-67.625,43.375,"Melanogrammus aeglefinus","IPSL","2-6",2053
"324",-67.625,43.375,"Melanogrammus aeglefinus","IPSL","8-5",2050
"325",-67.625,43.375,"Pandalus borealis","AWI","2-6",2063
"326",-67.625,43.375,"Pandalus borealis","AWI","8-5",2100
"327",-67.625,43.375,"Pandalus borealis","CNRM","2-6",2015
"328",-67.625,43.375,"Pandalus borealis","CNRM","8-5",2094
"329",-67.625,43.375,"Pandalus borealis","GFDL","8-5",2022
"330",-67.625,43.375,"Pandalus borealis","HAD","2-6",2089
"331",-67.625,43.375,"Pandalus borealis","HAD","8-5",2015
"332",-67.625,43.375,"Pandalus borealis","IPSL","2-6",2076
"333",-67.625,43.375,"Pandalus borealis","IPSL","8-5",2100
"334",-67.625,43.375,"Pollachius virens","AWI","2-6",2043
"335",-67.625,43.375,"Pollachius virens","AWI","8-5",2100
"336",-67.625,43.375,"Pollachius virens","CNRM","2-6",2097
"337",-67.625,43.375,"Pollachius virens","CNRM","8-5",2031
"338",-67.625,43.375,"Pollachius virens","GFDL","8-5",2087
"339",-67.625,43.375,"Pollachius virens","HAD","2-6",2100
"340",-67.625,43.375,"Pollachius virens","HAD","8-5",2100
"341",-67.625,43.375,"Pollachius virens","IPSL","2-6",2022
"342",-67.625,43.375,"Pollachius virens","IPSL","8-5",2016
"343",-67.625,43.375,"Sebastes fasciatus","AWI","2-6",2079
"344",-67.625,43.375,"Sebastes fasciatus","AWI","8-5",2054
"345",-67.625,43.375,"Sebastes fasciatus","CNRM","2-6",2100
"346",-67.625,43.375,"Sebastes fasciatus","CNRM","8-5",2096
"347",-67.625,43.375,"Sebastes fasciatus","GFDL","8-5",2045
