"","mod","climate_proj","year","mean.temp","temp.sd"
"312","HAD","2-6",2068,11.2639122118685,5.69392092774497
"313","HAD","2-6",2069,11.1833973347565,5.94286354293351
"314","HAD","2-6",2070,10.8888054886287,5.8178673450961
"315","HAD","2-6",2071,10.7722234704909,5.4240751405382
"316","HAD","2-6",2072,11.5778162797391,5.96459045850234
"317","HAD","2-6",2073,10.9223936696629,5.32896995458189
"318","HAD","2-6",2074,11.2173548158658,5.38790349926538
"319","HAD","2-6",2075,10.3816246829485,6.05503052611666
"320","HAD","2-6",2076,10.669048738591,5.20366282072564
"321","HAD","2-6",2077,11.3921618336879,6.18058899911346
"322","HAD","2-6",2078,10.3263821991956,5.1814457966837
"323","HAD","2-6",2079,12.2426878409528,5.58703253631844
"324","HAD","2-6",2080,11.7607751302701,5.60087204205183
"325","HAD","2-6",2081,11.6403184510372,5.79590433919143
"326","HAD","2-6",2082,10.5388962010542,5.63351964288776
"327","HAD","2-6",2083,11.5272120502722,5.76620137905626
"328","HAD","2-6",2084,12.0913057164644,5.49262254670445
"329","HAD","2-6",2085,11.3330482763538,5.09268761556431
"330","HAD","2-6",2086,10.9326096861555,5.77305236794329
"331","HAD","2-6",2087,10.709886677401,5.54996098702858
"332","HAD","2-6",2088,9.91762284243365,5.80876296320358
"333","HAD","2-6",2089,12.1229440986859,5.9275878057364
"334","HAD","2-6",2090,11.967999541631,6.01323969252797
"335","HAD","2-6",2091,11.4342437330787,5.13730581179387
"336","HAD","2-6",2092,11.4524849109262,5.39847403854885
"337","HAD","2-6",2093,10.3237218475796,5.27921894674236
"338","HAD","2-6",2094,10.7881202963331,5.33028851788266
"339","HAD","2-6",2095,10.7605446912747,6.24848069347772
"340","HAD","2-6",2096,11.2364862888385,5.31441537348748
"341","HAD","2-6",2097,11.9715086992684,5.43598010783864
"342","HAD","2-6",2098,10.800208416564,5.34610401255837
"343","HAD","2-6",2099,10.9315801412569,5.57412598136201
"344","HAD","2-6",2100,11.8113122640951,5.91172040544264
"345","HAD","8-5",2015,8.61627369317301,5.54918133174922
"346","HAD","8-5",2016,8.32224804423569,5.76563732297303
"347","HAD","8-5",2017,9.15682298499128,5.44368921208592
"348","HAD","8-5",2018,9.85248149535112,5.37451835358202
"349","HAD","8-5",2019,9.89158280074693,5.62235304190228
"350","HAD","8-5",2020,10.195192971948,5.45718817281194
"351","HAD","8-5",2021,9.95464322364147,5.87204367495261
"352","HAD","8-5",2022,9.15492374445737,4.78718597898856
"353","HAD","8-5",2023,10.0030953450217,5.79355630185199
"354","HAD","8-5",2024,9.50419371760342,5.6283311511402
"355","HAD","8-5",2025,9.7197374582012,5.47846069394309
"356","HAD","8-5",2026,9.35180828877919,5.19451692013343
"357","HAD","8-5",2027,9.91081924677428,5.77736457906644
"358","HAD","8-5",2028,10.0216011317094,5.43906178963434
"359","HAD","8-5",2029,10.3391595280155,5.60327496274001
"360","HAD","8-5",2030,9.1473467597306,5.26464899530537
"361","HAD","8-5",2031,9.45008080714356,5.93912214998925
"362","HAD","8-5",2032,10.7654348545355,5.70932339465126
"363","HAD","8-5",2033,10.4108633464823,5.3505171917746
"364","HAD","8-5",2034,10.0337038197626,5.84240530009234
"365","HAD","8-5",2035,10.1369134722084,5.48298956028276
"366","HAD","8-5",2036,10.360103649269,6.07229061771617
"367","HAD","8-5",2037,10.1224447004805,5.93856191071836
"368","HAD","8-5",2038,10.3018332822246,6.15073935624058
"369","HAD","8-5",2039,12.0338035141499,5.41861620602834
"370","HAD","8-5",2040,11.0981923933721,5.44154599275904
"371","HAD","8-5",2041,10.7697201714865,5.50766808249816
"372","HAD","8-5",2042,10.2094885541497,5.90928729282369
"373","HAD","8-5",2043,9.73116626395457,6.00649303301503
"374","HAD","8-5",2044,10.5952532633862,5.89690758402411
"375","HAD","8-5",2045,10.1708557934673,6.14757258434061
"376","HAD","8-5",2046,10.1914375293723,5.45675026782666
"377","HAD","8-5",2047,10.4097372496399,5.95481488083281
"378","HAD","8-5",2048,10.2531989052111,5.68337492896419
"379","HAD","8-5",2049,10.4921620362377,5.67901823894919
"380","HAD","8-5",2050,10.7506460280883,5.3701311172503
"381","HAD","8-5",2051,11.6251633936145,5.90870389380995
"382","HAD","8-5",2052,11.3129966446491,5.07802830806446
"383","HAD","8-5",2053,11.3685412934027,5.87235547465944
"384","HAD","8-5",2054,12.0765077864746,5.45910583822726
"385","HAD","8-5",2055,13.0034536023509,5.12638987707568
"386","HAD","8-5",2056,12.6568293824074,5.68249522630501
"387","HAD","8-5",2057,12.1320989925541,6.20168084099876
"388","HAD","8-5",2058,12.2477894832868,5.8702346096466
"389","HAD","8-5",2059,12.2115443287486,5.67040115563244
"390","HAD","8-5",2060,11.6042717756742,5.304416399624
"391","HAD","8-5",2061,12.5565182443702,6.53432044383034
"392","HAD","8-5",2062,12.3237085723605,5.87025582864218
"393","HAD","8-5",2063,12.397737950111,5.68136824391082
"394","HAD","8-5",2064,12.4767945577685,5.89008014050413
"395","HAD","8-5",2065,13.2250898669003,5.71118522938091
"396","HAD","8-5",2066,14.3735576097101,5.53700007904528
"397","HAD","8-5",2067,11.6505149562239,5.71118816539482
"398","HAD","8-5",2068,12.4276994276409,5.74218772641125
"399","HAD","8-5",2069,13.1018472381899,5.82734771052037
"400","HAD","8-5",2070,13.3827244150819,6.09850671177644
"401","HAD","8-5",2071,12.1553113254568,6.17666210358506
"402","HAD","8-5",2072,12.5646109151435,6.38773381964173
"403","HAD","8-5",2073,13.6617604839043,5.87841366858769
